                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8321,                  4.261,                 4.2663,                0.00126,                0.11364,                0.00079,                  8e-05,                 2.4583,                  4.198,                 4.1569,              8.574e-05,              8.574e-05,              8.574e-05
                      2,                 2.7995,                 4.2172,                 4.2083,                0.00185,                0.33333,                0.00216,                0.00097,                 2.4517,                 4.1952,                 4.1522,             0.00018209,             0.00018209,             0.00018209
                      3,                 2.8943,                 4.1496,                 4.1436,                 0.0025,                0.41667,                0.01273,                  0.002,                 2.4407,                 4.1854,                  4.143,             0.00027448,             0.00027448,             0.00027448
                      4,                 2.7912,                 4.0707,                 4.0926,                0.00251,                0.41667,                0.01944,                0.00262,                 2.4238,                 4.1712,                 4.1296,             0.00036291,             0.00036291,             0.00036291
                      5,                   2.75,                  3.918,                 4.0172,                0.00257,                0.41667,                 0.0223,                0.00326,                 2.3931,                 4.1285,                  4.101,             0.00044738,             0.00044738,             0.00044738
                      6,                 2.8023,                 3.8124,                 3.9415,                0.00258,                0.41667,                0.00985,                0.00242,                 2.3592,                 4.0784,                 4.0741,             0.00052789,             0.00052789,             0.00052789
                      7,                 2.6039,                 3.5593,                 3.7672,                0.00255,                0.41667,                0.01776,                0.00414,                 2.3443,                 4.0356,                 4.0745,             0.00060443,             0.00060443,             0.00060443
                      8,                 2.7347,                 3.4089,                 3.6533,                0.00253,                0.41667,                0.01684,                0.00362,                 2.3699,                 4.0978,                  4.141,             0.00067702,             0.00067702,             0.00067702
                      9,                 2.5821,                 3.1488,                 3.5019,                0.00253,                0.41667,                0.01426,                0.00344,                 2.3459,                 4.0942,                 4.1142,             0.00074564,             0.00074564,             0.00074564
                     10,                 2.7292,                 3.2393,                 3.4981,                0.00252,                0.41667,                0.01463,                0.00407,                 2.2838,                 4.0653,                 3.9933,              0.0008103,              0.0008103,              0.0008103
                     11,                 2.4904,                 3.0843,                 3.3578,                0.00254,                0.41667,                0.04811,                0.01042,                 2.1845,                 3.9707,                 3.7776,               0.000871,               0.000871,               0.000871
                     12,                 2.4047,                 3.0314,                  3.226,                0.00375,                0.58333,                 0.0376,                0.01071,                 2.0922,                  3.992,                 3.7252,             0.00092774,             0.00092774,             0.00092774
                     13,                 2.4298,                 3.0042,                 3.2095,                0.00375,                0.58333,                0.03737,                0.02194,                 2.0772,                 3.9503,                 3.6698,             0.00098052,             0.00098052,             0.00098052
                     14,                 2.4038,                 3.0458,                 3.1403,                0.95956,                 0.0303,                0.05401,                0.02356,                 2.1286,                 3.9567,                 3.7215,              0.0010293,              0.0010293,              0.0010293
                     15,                  2.345,                 2.8954,                 3.1065,                0.95583,                 0.0303,                0.12765,                0.03649,                 2.0081,                 3.8546,                 3.3632,              0.0010329,              0.0010329,              0.0010329
                     16,                 2.3492,                 2.8475,                 3.0448,                 0.4652,                0.31818,                0.15794,                 0.0732,                 1.9675,                 3.7028,                 2.9836,              0.0010329,              0.0010329,              0.0010329
                     17,                 2.1806,                 2.7363,                  2.904,                0.37764,                0.15152,                0.15965,                0.08526,                 1.9441,                 3.5018,                 3.0386,              0.0010046,              0.0010046,              0.0010046
                     18,                 2.2994,                 2.7158,                 2.9559,                0.83661,                0.15152,                0.23926,                0.10344,                  1.906,                 3.8384,                 2.9066,             0.00097629,             0.00097629,             0.00097629
                     19,                 2.0539,                   2.59,                 2.7891,                0.87435,                0.12121,                0.21648,                0.07553,                 1.8312,                  3.359,                 3.0271,               0.000948,               0.000948,               0.000948
                     20,                 2.1454,                 2.5356,                   2.78,                0.89389,                0.27273,                0.37487,                0.11486,                 1.7474,                 3.1917,                 2.7811,              0.0009197,              0.0009197,              0.0009197
                     21,                  2.093,                 2.5348,                 2.7444,                0.89259,                0.27273,                0.34031,                0.10893,                 1.7349,                 3.2743,                 2.8171,             0.00089141,             0.00089141,             0.00089141
                     22,                 2.0421,                 2.4443,                 2.6714,                0.84297,                0.24242,                0.34331,                0.13945,                 1.6616,                  3.096,                 2.8346,             0.00086312,             0.00086312,             0.00086312
                     23,                 1.9732,                 2.3898,                 2.5779,                 0.8911,                0.24242,                 0.4298,                0.13253,                 1.5734,                 3.4324,                  2.515,             0.00083482,             0.00083482,             0.00083482
                     24,                 1.9355,                 2.3898,                 2.5455,                0.40756,                0.50982,                0.46055,                0.14861,                 1.7381,                 2.8944,                 2.4678,             0.00080653,             0.00080653,             0.00080653
                     25,                 1.9774,                 2.3466,                 2.5859,                0.53201,                0.36972,                0.45516,                0.16381,                  1.628,                 2.9054,                 2.2972,             0.00077823,             0.00077823,             0.00077823
                     26,                 1.9042,                 2.3259,                 2.5797,                0.53677,                0.50554,                0.57424,                 0.2609,                 1.4772,                 2.4293,                 2.1891,             0.00074994,             0.00074994,             0.00074994
                     27,                 1.9179,                 2.3355,                 2.5516,                0.55925,                0.63528,                0.60433,                0.34678,                 1.2893,                 2.2481,                 2.0367,             0.00072164,             0.00072164,             0.00072164
                     28,                 1.7316,                 2.1513,                 2.3462,                0.77889,                0.70807,                0.76669,                0.47721,                 1.2162,                 1.9782,                 2.0063,             0.00069335,             0.00069335,             0.00069335
                     29,                 1.7862,                 2.0722,                  2.384,                0.73961,                0.72619,                0.78027,                0.51121,                 1.1843,                 1.8666,                 1.9582,             0.00066506,             0.00066506,             0.00066506
                     30,                 1.7668,                 2.1548,                 2.3339,                0.73104,                0.84723,                0.82125,                0.52391,                 1.2019,                 1.7739,                 1.9154,             0.00063676,             0.00063676,             0.00063676
                     31,                 1.7427,                 2.1014,                  2.337,                0.58986,                0.76008,                 0.8019,                0.52213,                 1.2023,                 2.0693,                 1.9683,             0.00060847,             0.00060847,             0.00060847
                     32,                 1.6439,                  2.029,                 2.2755,                0.58455,                0.81929,                0.80647,                0.59792,                 1.0722,                 2.0165,                 1.8978,             0.00058017,             0.00058017,             0.00058017
                     33,                 1.6434,                 1.9469,                 2.2496,                0.48001,                 0.8293,                0.79757,                0.56311,                 1.0988,                 1.9476,                 1.9242,             0.00055188,             0.00055188,             0.00055188
                     34,                 1.6321,                 1.9648,                 2.2459,                0.48218,                0.85209,                 0.7927,                0.60662,                 1.0783,                 1.8199,                 1.9038,             0.00052359,             0.00052359,             0.00052359
                     35,                 1.5998,                 1.9028,                 2.2502,                0.81788,                0.67815,                0.82105,                0.53632,                 1.1216,                 1.6983,                 1.8436,             0.00049529,             0.00049529,             0.00049529
                     36,                 1.5475,                 1.8628,                  2.169,                0.72779,                0.86915,                0.85687,                0.59074,                 1.0347,                 1.5824,                 1.7972,               0.000467,               0.000467,               0.000467
                     37,                 1.5075,                 1.8059,                 2.1347,                0.79935,                 0.7381,                0.84157,                0.57204,                 1.0348,                 1.5493,                  1.779,              0.0004387,              0.0004387,              0.0004387
                     38,                  1.533,                 1.8294,                 2.1608,                  0.628,                0.89985,                0.86123,                0.59782,                0.97039,                  1.503,                 1.7573,             0.00041041,             0.00041041,             0.00041041
                     39,                 1.4449,                 1.7123,                 2.0558,                0.68217,                0.83562,                0.86115,                0.63201,                0.89617,                 1.4893,                 1.7586,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.4955,                  1.801,                 2.1343,                 0.6905,                0.82662,                0.90533,                 0.6672,                 0.8677,                 1.4715,                 1.7337,             0.00035382,             0.00035382,             0.00035382
                     41,                 1.1404,                 1.8363,                  1.822,                0.75007,                0.88195,                0.92754,                0.65158,                0.98576,                 1.5221,                 1.7711,             0.00032553,             0.00032553,             0.00032553
                     42,                 1.0837,                 1.7929,                 1.7307,                0.84257,                0.91373,                0.92432,                0.63833,                 1.0047,                    1.5,                 1.7542,             0.00029723,             0.00029723,             0.00029723
                     43,                 1.1243,                 1.8607,                 1.8176,                0.85419,                0.91667,                0.92519,                0.66616,                0.91339,                 1.3994,                 1.6729,             0.00026894,             0.00026894,             0.00026894
                     44,                 1.1096,                 1.7526,                 1.7709,                0.82808,                0.86905,                0.95345,                0.70663,                0.92812,                 1.3858,                 1.6552,             0.00024064,             0.00024064,             0.00024064
                     45,                 1.0711,                 1.7276,                 1.7635,                0.81139,                0.91427,                0.94232,                0.73989,                0.90169,                 1.3675,                 1.6412,             0.00021235,             0.00021235,             0.00021235
                     46,                 1.0101,                 1.6256,                 1.6892,                 0.8663,                0.94406,                0.96139,                0.76682,                0.86385,                 1.3327,                 1.6235,             0.00018406,             0.00018406,             0.00018406
                     47,                 1.0218,                 1.6022,                 1.7016,                0.81967,                 0.9495,                0.96607,                0.80001,                0.82793,                 1.2529,                 1.6187,             0.00015576,             0.00015576,             0.00015576
                     48,                 1.0052,                 1.6267,                  1.698,                0.84361,                0.98331,                 0.9669,                0.79781,                0.81396,                 1.2262,                 1.6194,             0.00012747,             0.00012747,             0.00012747
                     49,                 1.0379,                 1.5937,                 1.7224,                0.84765,                0.94234,                0.96607,                0.79525,                0.80971,                 1.2176,                 1.6154,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                 0.9931,                 1.5895,                 1.6807,                0.88374,                 0.8415,                0.95685,                0.76357,                0.82129,                 1.2383,                 1.6292,             7.0878e-05,             7.0878e-05,             7.0878e-05
