                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9759,                 4.2745,                  4.281,                0.00135,                0.09091,                0.00089,                0.00014,                 3.2878,                 4.2821,                 4.1596,              8.574e-05,              8.574e-05,              8.574e-05
                      2,                  3.907,                 4.2293,                 4.2473,                0.00135,                0.09091,                0.00092,                0.00015,                 3.2891,                 4.2819,                 4.1577,             0.00018314,             0.00018314,             0.00018314
                      3,                 3.8474,                 4.2145,                 4.2008,                0.00092,                0.06061,                0.00058,                0.00011,                  3.289,                 4.2846,                  4.153,             0.00027772,             0.00027772,             0.00027772
                      4,                 3.7694,                 4.1244,                 4.1611,                0.00135,                0.09091,                0.00096,                 0.0001,                 3.2845,                 4.2876,                 4.1459,             0.00036946,             0.00036946,             0.00036946
                      5,                 3.4645,                 3.9822,                 4.1296,                0.00136,                0.09091,                0.00092,                0.00014,                  3.281,                 4.3012,                 4.1329,             0.00045837,             0.00045837,             0.00045837
                      6,                 3.5555,                 3.7272,                 4.0601,                0.00135,                0.09091,                0.00118,                 0.0002,                 3.3028,                 4.3251,                 4.1299,             0.00054446,             0.00054446,             0.00054446
                      7,                 3.4748,                 3.4217,                 3.8866,                0.00176,                0.06061,                0.00111,                0.00022,                 3.3248,                 4.3118,                 4.1322,             0.00062771,             0.00062771,             0.00062771
                      8,                 3.4282,                 3.1841,                  3.712,                0.00152,                 0.0303,                0.00084,                  8e-05,                 3.4248,                  4.411,                 4.1802,             0.00070814,             0.00070814,             0.00070814
                      9,                 3.1244,                 2.8022,                 3.5258,                0.00152,                 0.0303,                0.00084,                  8e-05,                 3.2824,                 4.2904,                 4.1029,             0.00078574,             0.00078574,             0.00078574
                     10,                  3.033,                  2.783,                 3.4419,                0.00152,                 0.0303,                0.00084,                  8e-05,                 3.2377,                 4.2802,                 4.0621,             0.00086051,             0.00086051,             0.00086051
                     11,                 2.8545,                 2.6498,                 3.2367,                0.00182,                 0.0303,                0.00122,                0.00022,                 2.9759,                 4.0316,                 3.8917,             0.00093244,             0.00093244,             0.00093244
