                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     12,                 2.7641,                  2.566,                 3.0419,                0.68657,                 0.0303,                0.01046,                0.00443,                 2.9963,                 3.8655,                 3.7588,              0.0010016,              0.0010016,              0.0010016
                     13,                 2.6165,                 2.4624,                 2.9155,                0.73926,                 0.0303,                0.02624,                0.01389,                 2.8108,                 3.7242,                 3.6269,              0.0010678,              0.0010678,              0.0010678
                     14,                  2.617,                 2.4284,                 2.8575,                0.39946,                0.18748,                0.29618,                0.10674,                 2.2487,                 2.7434,                 3.0757,              0.0011313,              0.0011313,              0.0011313
                     15,                 2.5046,                 2.2709,                 2.6875,                0.23983,                0.67857,                0.35565,                0.12126,                   2.22,                 2.4723,                 2.7502,              0.0011461,              0.0011461,              0.0011461
                     16,                 2.4771,                 2.2064,                 2.6184,                0.85684,                0.28218,                0.48798,                0.16669,                 2.3161,                 2.3897,                 2.7673,              0.0011461,              0.0011461,              0.0011461
                     17,                 2.2282,                 2.1036,                 2.4793,                0.87563,                0.30303,                0.47349,                0.17726,                 2.1771,                 2.8099,                 2.6863,              0.0011258,              0.0011258,              0.0011258
                     18,                 2.2761,                 2.0675,                 2.4799,                0.91697,                0.21212,                0.44726,                0.14655,                 2.1942,                 2.7561,                 2.6778,              0.0011056,              0.0011056,              0.0011056
                     19,                  2.157,                 1.9358,                 2.3748,                0.96483,                0.15152,                0.44086,                 0.1574,                 1.9631,                 2.5193,                 2.4917,              0.0010854,              0.0010854,              0.0010854
                     20,                 2.2065,                 1.9388,                 2.3819,                0.88431,                0.30303,                0.51923,                0.16422,                  2.099,                 2.8528,                 2.4118,              0.0010652,              0.0010652,              0.0010652
                     21,                 2.1422,                 1.8512,                 2.3152,                0.78106,                0.30303,                0.52389,                0.18984,                 2.0837,                 4.4717,                 2.2955,               0.001045,               0.001045,               0.001045
                     22,                 2.0572,                 1.8212,                 2.2601,                0.87255,                0.29413,                0.37494,                0.16876,                 2.0976,                 3.5552,                  2.326,              0.0010248,              0.0010248,              0.0010248
                     23,                 1.9808,                 1.7801,                 2.2045,                0.48946,                0.30303,                0.46962,                0.27616,                 1.6761,                 2.6471,                 2.1833,              0.0010046,              0.0010046,              0.0010046
                     24,                 1.8926,                 1.7439,                 2.1241,                0.35262,                0.19913,                0.20488,                0.09446,                 1.6927,                 3.1836,                  2.701,             0.00098438,             0.00098438,             0.00098438
                     25,                 1.8368,                 1.6899,                 2.0851,                0.23332,                0.04762,                0.08433,                 0.0447,                 1.7379,                 3.4647,                 2.8792,             0.00096417,             0.00096417,             0.00096417
                     26,                 1.8579,                 1.6733,                  2.068,                 0.1417,                0.07792,                 0.1046,                0.05663,                 1.6492,                 3.4226,                 2.8872,             0.00094396,             0.00094396,             0.00094396
                     27,                 1.8443,                 1.7855,                  2.062,                0.47559,                0.56427,                0.47987,                0.30328,                 1.5201,                 2.1274,                 1.9958,             0.00092375,             0.00092375,             0.00092375
                     28,                 1.6641,                 1.5759,                 1.9199,                0.60391,                0.64086,                0.62308,                0.41922,                 1.3835,                 1.6958,                 1.8144,             0.00090354,             0.00090354,             0.00090354
                     29,                 1.7043,                 1.5444,                 1.9736,                0.84178,                0.53853,                 0.6727,                 0.4764,                 1.3587,                 1.6103,                 1.7744,             0.00088333,             0.00088333,             0.00088333
                     30,                 1.7024,                 1.6157,                 1.9318,                0.60808,                0.57684,                0.63638,                0.43487,                  1.389,                 1.5495,                 1.8632,             0.00086312,             0.00086312,             0.00086312
                     31,                 1.6516,                 1.5824,                 1.9214,                0.54978,                0.69333,                0.62008,                0.44319,                 1.2375,                 1.4124,                  1.821,             0.00084291,             0.00084291,             0.00084291
                     32,                 1.5283,                 1.5079,                  1.815,                0.66363,                0.76848,                0.80302,                0.55471,                 1.1488,                 1.3285,                 1.6943,              0.0008227,              0.0008227,              0.0008227
                     33,                 1.5272,                 1.4412,                 1.8034,                0.76607,                0.78454,                0.82014,                 0.5836,                 1.1045,                 1.3127,                 1.6502,             0.00080249,             0.00080249,             0.00080249
                     34,                 1.5462,                  1.448,                 1.8192,                0.73725,                0.71898,                0.81221,                 0.5506,                 1.1773,                 1.4059,                 1.7212,             0.00078228,             0.00078228,             0.00078228
                     35,                 1.5221,                 1.4362,                 1.7861,                0.75896,                0.74946,                0.83632,                0.57084,                 1.1588,                  1.328,                 1.6309,             0.00076207,             0.00076207,             0.00076207
                     36,                 1.4881,                 1.3838,                 1.7662,                0.64696,                0.67731,                 0.7504,                 0.5546,                 1.1408,                 1.2974,                 1.6022,             0.00074186,             0.00074186,             0.00074186
                     37,                 1.4441,                 1.3547,                 1.7126,                0.65505,                0.67982,                 0.7576,                0.55778,                 1.1283,                 1.3175,                 1.6348,             0.00072164,             0.00072164,             0.00072164
                     38,                 1.4632,                 1.3866,                 1.7604,                0.81952,                0.78396,                0.85609,                0.68412,                 1.0088,                 1.1749,                 1.5626,             0.00070143,             0.00070143,             0.00070143
                     39,                 1.3766,                 1.2696,                 1.6813,                0.81345,                 0.8274,                0.88552,                0.65133,                 1.1208,                 1.0983,                 1.5558,             0.00068122,             0.00068122,             0.00068122
                     40,                 1.3963,                 1.3319,                 1.7498,                0.90444,                0.82078,                0.89387,                0.67943,                 1.0297,                 1.0375,                 1.5182,             0.00066101,             0.00066101,             0.00066101
                     41,                  1.356,                 1.2533,                 1.6671,                0.88717,                0.87324,                0.89135,                0.67695,                0.98357,                 1.0589,                 1.4775,              0.0006408,              0.0006408,              0.0006408
                     42,                 1.3588,                 1.2959,                 1.6478,                 0.9933,                0.78707,                0.92071,                0.70818,                0.93257,                 1.0817,                 1.4199,             0.00062059,             0.00062059,             0.00062059
                     43,                 1.3182,                 1.1802,                 1.6376,                0.93118,                0.77106,                0.92204,                0.71585,                0.91701,                 1.0376,                 1.4279,             0.00060038,             0.00060038,             0.00060038
                     44,                 1.3158,                 1.2628,                 1.6607,                0.87936,                0.77228,                0.92607,                0.72399,                 1.0005,                 1.1405,                 1.4613,             0.00058017,             0.00058017,             0.00058017
                     45,                 1.2789,                 1.1926,                 1.5898,                0.84823,                0.76544,                0.89661,                0.69618,                 1.0344,                 1.1906,                 1.4898,             0.00055996,             0.00055996,             0.00055996
                     46,                 1.2451,                 1.1386,                 1.5649,                0.81584,                0.75946,                0.92024,                0.72219,                0.98916,                 1.1466,                 1.4981,             0.00053975,             0.00053975,             0.00053975
                     47,                 1.3075,                 1.1631,                 1.6042,                0.81037,                0.77997,                0.91692,                0.72017,                0.95347,                  1.075,                 1.4937,             0.00051954,             0.00051954,             0.00051954
                     48,                 1.3007,                 1.2019,                 1.6281,                0.87902,                0.76857,                0.91553,                0.75375,                0.91389,                 1.0449,                 1.4028,             0.00049933,             0.00049933,             0.00049933
                     49,                 1.3479,                 1.1506,                 1.5784,                0.88391,                 0.7783,                0.92667,                0.73764,                0.93257,                0.97618,                  1.403,             0.00047912,             0.00047912,             0.00047912
                     50,                 1.2684,                 1.1539,                 1.5699,                0.80332,                0.81168,                0.90564,                0.71297,                  0.878,                0.96333,                 1.4153,             0.00045891,             0.00045891,             0.00045891
                     51,                 1.2574,                 1.1755,                 1.6087,                0.83848,                0.84011,                0.90019,                0.69993,                0.87061,                 0.9864,                 1.4164,              0.0004387,              0.0004387,              0.0004387
                     52,                 1.1791,                 1.1131,                 1.5369,                0.83844,                0.86274,                0.90083,                0.71139,                 0.9418,                 1.0166,                 1.4348,             0.00041849,             0.00041849,             0.00041849
                     53,                  1.212,                 1.1279,                  1.544,                0.83524,                0.89172,                0.88042,                0.68054,                 0.9954,                 1.0225,                   1.45,             0.00039828,             0.00039828,             0.00039828
                     54,                 1.1751,                 1.1148,                 1.4847,                0.87871,                0.87829,                 0.9325,                 0.7049,                0.97558,                0.94371,                 1.4556,             0.00037807,             0.00037807,             0.00037807
                     55,                 1.2316,                 1.1043,                  1.574,                0.91014,                0.85736,                0.95929,                0.74949,                0.87424,                0.86968,                 1.3948,             0.00035786,             0.00035786,             0.00035786
                     56,                 1.1569,                 1.0295,                 1.5037,                0.88505,                0.88673,                0.93845,                0.75326,                0.88726,                0.90276,                 1.3661,             0.00033765,             0.00033765,             0.00033765
                     57,                 1.1635,                 1.0576,                 1.4805,                0.87641,                0.88963,                 0.9325,                0.75917,                0.86821,                0.94125,                 1.3524,             0.00031744,             0.00031744,             0.00031744
                     58,                 1.2153,                 1.1167,                 1.5468,                0.84151,                0.88646,                 0.9325,                0.74402,                0.93458,                0.91935,                 1.3926,             0.00029723,             0.00029723,             0.00029723
                     59,                 1.1153,                 1.0243,                 1.4601,                0.84576,                0.85942,                0.95345,                0.76136,                0.85717,                0.85678,                  1.351,             0.00027702,             0.00027702,             0.00027702
                     60,                 1.0531,                0.96646,                 1.4459,                0.88143,                0.85976,                0.93845,                0.74772,                0.81983,                0.86822,                 1.3309,             0.00025681,             0.00025681,             0.00025681
                     61,                 1.0004,                 1.3335,                 1.4094,                0.89225,                0.85929,                0.93845,                 0.7496,                0.82421,                0.88708,                 1.3375,              0.0002366,              0.0002366,              0.0002366
                     62,                 1.0398,                 1.2307,                 1.4456,                0.90754,                0.86457,                0.93262,                0.74613,                0.81667,                0.89888,                 1.3325,             0.00021639,             0.00021639,             0.00021639
                     63,                0.94201,                 1.1431,                 1.3496,                0.90421,                0.86627,                0.92667,                0.74115,                0.84713,                0.95085,                 1.3297,             0.00019618,             0.00019618,             0.00019618
                     64,                0.93905,                 1.1633,                 1.3924,                0.89716,                0.85882,                0.93262,                0.75844,                0.88575,                0.93979,                 1.3334,             0.00017597,             0.00017597,             0.00017597
                     65,                0.96488,                 1.0954,                 1.3722,                0.88599,                0.89497,                0.94639,                0.75132,                0.87818,                0.91116,                 1.3282,             0.00015576,             0.00015576,             0.00015576
                     66,                0.94296,                 1.0965,                 1.3759,                0.91728,                0.95506,                0.97833,                0.80366,                0.81359,                0.87182,                 1.2946,             0.00013555,             0.00013555,             0.00013555
                     67,                0.88154,                 1.0355,                 1.3097,                0.90878,                0.94276,                0.97833,                 0.8023,                0.76934,                0.84732,                 1.2843,             0.00011534,             0.00011534,             0.00011534
                     68,                0.85069,                 1.0271,                 1.3052,                0.87208,                0.97945,                0.97833,                0.81032,                0.75053,                0.82701,                 1.2781,             9.5131e-05,             9.5131e-05,             9.5131e-05
                     69,                 0.8701,                 1.0311,                 1.3438,                0.87262,                0.98024,                0.97833,                0.80709,                0.74174,                0.81279,                 1.2744,              7.492e-05,              7.492e-05,              7.492e-05
                     70,                0.86969,                 1.0236,                 1.3213,                0.87149,                0.98081,                0.97833,                0.81442,                0.74377,                0.81691,                 1.2733,              5.471e-05,              5.471e-05,              5.471e-05
