                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7891,                 1.6001,                 2.2992,                0.48456,                0.65143,                0.68771,                0.45335,                 1.4978,                 1.5135,                  2.362,             0.00068429,             0.00068429,             0.00068429
                     35,                 1.7433,                 1.4855,                 2.2101,                0.52008,                0.76511,                0.64827,                0.40892,                 1.4414,                  1.387,                 2.2967,             0.00066661,             0.00066661,             0.00066661
                     36,                  1.714,                 1.5232,                  2.217,                0.49335,                0.78807,                0.72247,                0.40857,                 1.4795,                 1.4371,                 2.3533,             0.00064893,             0.00064893,             0.00064893
                     37,                 1.6172,                 1.4214,                 2.1298,                0.50183,                0.78486,                0.74008,                0.41779,                 1.5121,                 1.4324,                 2.3858,             0.00063125,             0.00063125,             0.00063125
                     38,                 1.6778,                 1.4776,                 2.2015,                0.53049,                0.76616,                0.71459,                 0.4397,                 1.4877,                 1.4597,                 2.3582,             0.00061357,             0.00061357,             0.00061357
                     39,                 1.6013,                 1.3861,                 2.1448,                0.66267,                0.78872,                0.75092,                0.45394,                 1.4204,                 1.3905,                 2.2971,             0.00059589,             0.00059589,             0.00059589
                     40,                 1.6124,                  1.439,                 2.1816,                0.63762,                0.76718,                0.70532,                 0.4217,                 1.4818,                 1.4475,                 2.2985,             0.00057821,             0.00057821,             0.00057821
                     41,                 1.5419,                  1.378,                 2.1197,                0.63546,                0.75065,                0.67317,                0.39031,                 1.5631,                 1.4267,                 2.3164,             0.00056054,             0.00056054,             0.00056054
                     42,                 1.6101,                 1.3957,                  2.151,                0.69784,                0.70973,                0.73798,                0.42962,                 1.5942,                  1.355,                 2.3122,             0.00054286,             0.00054286,             0.00054286
                     43,                 1.4936,                 1.2965,                 2.0137,                0.59852,                0.74024,                0.73882,                0.49634,                 1.4898,                 1.3383,                 2.3051,             0.00052518,             0.00052518,             0.00052518
                     44,                   1.56,                 1.4046,                 2.1221,                0.70122,                0.65124,                0.75583,                0.51459,                 1.4007,                 1.3634,                 2.2435,              0.0005075,              0.0005075,              0.0005075
                     45,                 1.4915,                 1.2893,                 1.9843,                0.71518,                 0.7822,                0.79262,                0.47757,                 1.3724,                  1.338,                 2.2005,             0.00048982,             0.00048982,             0.00048982
                     46,                 1.4969,                 1.2764,                 1.9855,                0.73025,                0.80046,                0.78576,                0.53002,                 1.3016,                 1.2925,                 2.1623,             0.00047214,             0.00047214,             0.00047214
                     47,                 1.4456,                 1.2587,                 1.9813,                0.75138,                0.70062,                0.70548,                0.45236,                 1.4192,                 1.3414,                 2.2174,             0.00045446,             0.00045446,             0.00045446
                     48,                 1.4425,                 1.2626,                 2.0516,                0.68887,                0.73471,                0.67411,                0.45495,                 1.3694,                 1.4091,                 2.1632,             0.00043679,             0.00043679,             0.00043679
                     49,                 1.4458,                 1.2473,                 1.9802,                0.72693,                0.73685,                0.69985,                0.47973,                 1.3585,                  1.398,                 2.1447,             0.00041911,             0.00041911,             0.00041911
                     50,                 1.4176,                 1.2322,                 1.9709,                0.76301,                0.74702,                0.70288,                0.47506,                 1.3416,                 1.3108,                 2.1566,             0.00040143,             0.00040143,             0.00040143
                     51,                 1.4075,                 1.2577,                 1.9832,                0.70691,                0.69619,                 0.7155,                0.46248,                 1.4991,                 1.3687,                 2.2685,             0.00038375,             0.00038375,             0.00038375
                     52,                 1.3838,                 1.2102,                 1.9437,                0.63382,                 0.7096,                 0.6976,                0.47316,                 1.3558,                 1.4363,                 2.2036,             0.00036607,             0.00036607,             0.00036607
                     53,                 1.3528,                 1.2186,                  1.942,                0.62082,                0.74159,                0.69609,                0.46136,                 1.2962,                 1.3869,                 2.1444,             0.00034839,             0.00034839,             0.00034839
                     54,                 1.3579,                 1.1868,                 1.9134,                0.60162,                0.75865,                0.70219,                0.44716,                  1.281,                 1.2889,                 2.1182,             0.00033071,             0.00033071,             0.00033071
